Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
7_1	7_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22767204.0	0.0	151.0	62.0	8.287904667135907	151.0	151	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
7_2	7_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22767204.0	0.0	151.0	62.0	9.280340263546803	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
8_1	8_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27644491.0	0.0	151.0	63.0	11.869429384747072	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	fail
8_2	8_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27644491.0	0.0	151.0	63.0	12.829466182613572	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
8_4_MMmAN_F1C6_1	8_4_MMmAN_F1C6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23532430.0	0.0	151.0	61.0	6.660915887917349	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
8_4_MMmAN_F1C6_2	8_4_MMmAN_F1C6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23532430.0	0.0	151.0	61.0	6.328118229908128	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
8_4_MMmAN_F2C6_1	8_4_MMmAN_F2C6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24888581.0	0.0	151.0	60.0	6.621418765347302	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
8_4_MMmAN_F2C6_2	8_4_MMmAN_F2C6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24888581.0	0.0	151.0	61.0	6.524006199094588	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
8_4_MMmANmF1C6_1	8_4_MMmANmF1C6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19931435.0	0.0	151.0	61.0	6.283361495854255	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
8_4_MMmANmF1C6_2	8_4_MMmANmF1C6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19931435.0	0.0	151.0	61.0	6.021670751371568	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
8_4_MMmANmF2C6_1	8_4_MMmANmF2C6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23385582.0	0.0	151.0	61.0	5.719944271225909	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
8_4_MMmANmF2C6_2	8_4_MMmANmF2C6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23385582.0	0.0	151.0	61.0	5.382614370066955	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
ANLCFA_F1C12R_1	ANLCFA_F1C12R_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26205177.0	0.0	151.0	62.0	8.122795229503792	151.0	151	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
ANLCFA_F1C12R_2	ANLCFA_F1C12R_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26205177.0	0.0	151.0	62.0	8.639923349072957	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
ANLCFA_F2C12R_1	ANLCFA_F2C12R_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24303939.0	0.0	151.0	62.0	8.037333555625716	151.0	151	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
ANLCFA_F2C12R_2	ANLCFA_F2C12R_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24303939.0	0.0	151.0	62.0	8.431666371216915	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
ANLCFAmF1C12R_1	ANLCFAmF1C12R_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29672350.0	0.0	151.0	62.0	8.174531029573709	151.0	151	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
ANLCFAmF1C12R_2	ANLCFAmF1C12R_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29672350.0	0.0	151.0	62.0	8.676283798758758	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
ANLCFAmF2C12R_1	ANLCFAmF2C12R_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24163661.0	0.0	151.0	62.0	8.387361309222163	151.0	151	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
ANLCFAmF2C12R_2	ANLCFAmF2C12R_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24163661.0	0.0	151.0	62.0	8.825975833859479	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
